county,office,party,candidate,votes
Mason,Attorney General,DEM,Rochelle Mercedes Garza,365
Mason,Attorney General,REP,Ken Paxton,1623
Mason,Attorney General,LIB,,49
Matagorda,Attorney General,DEM,Rochelle Mercedes Garza,2242
Matagorda,Attorney General,REP,Ken Paxton,7165
Matagorda,Attorney General,LIB,,241
Maverick,Attorney General,DEM,Rochelle Mercedes Garza,5063
Maverick,Attorney General,REP,Ken Paxton,3326
Maverick,Attorney General,LIB,,211
McCulloch,Attorney General,DEM,Rochelle Mercedes Garza,322
McCulloch,Attorney General,REP,Ken Paxton,2179
McCulloch,Attorney General,LIB,,48
McLennan,Attorney General,DEM,Rochelle Mercedes Garza,23613
McLennan,Attorney General,REP,Ken Paxton,46217
McLennan,Attorney General,LIB,,2161
McMullen,Attorney General,DEM,Rochelle Mercedes Garza,31
McMullen,Attorney General,REP,Ken Paxton,334
McMullen,Attorney General,LIB,,4
Medina,Attorney General,DEM,Rochelle Mercedes Garza,4515
Medina,Attorney General,REP,Ken Paxton,12293
Medina,Attorney General,LIB,,435
Menard,Attorney General,DEM,Rochelle Mercedes Garza,117
Menard,Attorney General,REP,Ken Paxton,635
Menard,Attorney General,LIB,,14
Midland,Attorney General,DEM,Rochelle Mercedes Garza,7195
Midland,Attorney General,REP,Ken Paxton,31143
Midland,Attorney General,LIB,,1075
Milam,Attorney General,DEM,Rochelle Mercedes Garza,1585
Milam,Attorney General,REP,Ken Paxton,6488
Milam,Attorney General,LIB,,230
Mills,Attorney General,DEM,Rochelle Mercedes Garza,200
Mills,Attorney General,REP,Ken Paxton,1858
Mills,Attorney General,LIB,,53
Mitchell,Attorney General,DEM,Rochelle Mercedes Garza,195
Mitchell,Attorney General,REP,Ken Paxton,1531
Mitchell,Attorney General,LIB,,34
Montague,Attorney General,DEM,Rochelle Mercedes Garza,814
Montague,Attorney General,REP,Ken Paxton,6808
Montague,Attorney General,LIB,,154
Montgomery,Attorney General,DEM,Rochelle Mercedes Garza,51691
Montgomery,Attorney General,REP,Ken Paxton,149854
Montgomery,Attorney General,LIB,,5305
Moore,Attorney General,DEM,Rochelle Mercedes Garza,498
Moore,Attorney General,REP,Ken Paxton,3008
Moore,Attorney General,LIB,,65
Morris,Attorney General,DEM,Rochelle Mercedes Garza,918
Morris,Attorney General,REP,Ken Paxton,2992
Morris,Attorney General,LIB,,59
Motley,Attorney General,DEM,Rochelle Mercedes Garza,24
Motley,Attorney General,REP,Ken Paxton,471
Motley,Attorney General,LIB,,4
Nacogdoches,Attorney General,DEM,Rochelle Mercedes Garza,5446
Nacogdoches,Attorney General,REP,Ken Paxton,12918
Nacogdoches,Attorney General,LIB,,469
Navarro,Attorney General,DEM,Rochelle Mercedes Garza,3101
Navarro,Attorney General,REP,Ken Paxton,10509
Navarro,Attorney General,LIB,,444
Newton,Attorney General,DEM,Rochelle Mercedes Garza,690
Newton,Attorney General,REP,Ken Paxton,3585
Newton,Attorney General,LIB,,67
Nolan,Attorney General,DEM,Rochelle Mercedes Garza,678
Nolan,Attorney General,REP,Ken Paxton,2991
Nolan,Attorney General,LIB,,81
Nueces,Attorney General,DEM,Rochelle Mercedes Garza,40226
Nueces,Attorney General,REP,Ken Paxton,46057
Nueces,Attorney General,LIB,,2118
Ochiltree,Attorney General,DEM,Rochelle Mercedes Garza,154
Ochiltree,Attorney General,REP,Ken Paxton,1931
Ochiltree,Attorney General,LIB,,33
Oldham,Attorney General,DEM,Rochelle Mercedes Garza,56
Oldham,Attorney General,REP,Ken Paxton,697
Oldham,Attorney General,LIB,,14
Orange,Attorney General,DEM,Rochelle Mercedes Garza,3781
Orange,Attorney General,REP,Ken Paxton,20853
Orange,Attorney General,LIB,,345
Palo Pinto,Attorney General,DEM,Rochelle Mercedes Garza,1492
Palo Pinto,Attorney General,REP,Ken Paxton,7659
Palo Pinto,Attorney General,LIB,,275
Panola,Attorney General,DEM,Rochelle Mercedes Garza,1247
Panola,Attorney General,REP,Ken Paxton,6932
Panola,Attorney General,LIB,,91
Parker,Attorney General,DEM,Rochelle Mercedes Garza,9983
Parker,Attorney General,REP,Ken Paxton,50933
Parker,Attorney General,LIB,,2187
Parmer,Attorney General,DEM,Rochelle Mercedes Garza,222
Parmer,Attorney General,REP,Ken Paxton,1497
Parmer,Attorney General,LIB,,33
Pecos,Attorney General,DEM,Rochelle Mercedes Garza,1125
Pecos,Attorney General,REP,Ken Paxton,2335
Pecos,Attorney General,LIB,,83
Polk,Attorney General,DEM,Rochelle Mercedes Garza,3226
Polk,Attorney General,REP,Ken Paxton,13072
Polk,Attorney General,LIB,,387
Potter,Attorney General,DEM,Rochelle Mercedes Garza,5463
Potter,Attorney General,REP,Ken Paxton,15654
Potter,Attorney General,LIB,,549
Presidio,Attorney General,DEM,Rochelle Mercedes Garza,1165
Presidio,Attorney General,REP,Ken Paxton,438
Presidio,Attorney General,LIB,,36
Rains,Attorney General,DEM,Rochelle Mercedes Garza,610
Rains,Attorney General,REP,Ken Paxton,4226
Rains,Attorney General,LIB,,128
Randall,Attorney General,DEM,Rochelle Mercedes Garza,8418
Randall,Attorney General,REP,Ken Paxton,38245
Randall,Attorney General,LIB,,1098
Reagan,Attorney General,DEM,Rochelle Mercedes Garza,98
Reagan,Attorney General,REP,Ken Paxton,591
Reagan,Attorney General,LIB,,9
Real,Attorney General,DEM,Rochelle Mercedes Garza,216
Real,Attorney General,REP,Ken Paxton,1308
Real,Attorney General,LIB,,31
Red River,Attorney General,DEM,Rochelle Mercedes Garza,749
Red River,Attorney General,REP,Ken Paxton,3421
Red River,Attorney General,LIB,,84
Reeves,Attorney General,DEM,Rochelle Mercedes Garza,854
Reeves,Attorney General,REP,Ken Paxton,1150
Reeves,Attorney General,LIB,,30
Refugio,Attorney General,DEM,Rochelle Mercedes Garza,660
Refugio,Attorney General,REP,Ken Paxton,1578
Refugio,Attorney General,LIB,,37
Roberts,Attorney General,DEM,Rochelle Mercedes Garza,8
Roberts,Attorney General,REP,Ken Paxton,426
Roberts,Attorney General,LIB,,8
Robertson,Attorney General,DEM,Rochelle Mercedes Garza,1308
Robertson,Attorney General,REP,Ken Paxton,4521
Robertson,Attorney General,LIB,,137
Rockwall,Attorney General,DEM,Rochelle Mercedes Garza,12147
Rockwall,Attorney General,REP,Ken Paxton,29118
Rockwall,Attorney General,LIB,,1487
Runnels,Attorney General,DEM,Rochelle Mercedes Garza,305
Runnels,Attorney General,REP,Ken Paxton,2864
Runnels,Attorney General,LIB,,51
Rusk,Attorney General,DEM,Rochelle Mercedes Garza,2727
Rusk,Attorney General,REP,Ken Paxton,12473
Rusk,Attorney General,LIB,,282
Sabine,Attorney General,DEM,Rochelle Mercedes Garza,407
Sabine,Attorney General,REP,Ken Paxton,3725
Sabine,Attorney General,LIB,,34
San Augustine,Attorney General,DEM,Rochelle Mercedes Garza,580
San Augustine,Attorney General,REP,Ken Paxton,2228
San Augustine,Attorney General,LIB,,43
San Jacinto,Attorney General,DEM,Rochelle Mercedes Garza,1532
San Jacinto,Attorney General,REP,Ken Paxton,7778
San Jacinto,Attorney General,LIB,,193
San Patricio,Attorney General,DEM,Rochelle Mercedes Garza,5712
San Patricio,Attorney General,REP,Ken Paxton,11626
San Patricio,Attorney General,LIB,,377
San Saba,Attorney General,DEM,Rochelle Mercedes Garza,203
San Saba,Attorney General,REP,Ken Paxton,1907
San Saba,Attorney General,LIB,,36
Schleicher,Attorney General,DEM,Rochelle Mercedes Garza,182
Schleicher,Attorney General,REP,Ken Paxton,771
Schleicher,Attorney General,LIB,,17
Scurry,Attorney General,DEM,Rochelle Mercedes Garza,480
Scurry,Attorney General,REP,Ken Paxton,3536
Scurry,Attorney General,LIB,,70
Shackelford,Attorney General,DEM,Rochelle Mercedes Garza,104
Shackelford,Attorney General,REP,Ken Paxton,1106
Shackelford,Attorney General,LIB,,18
Shelby,Attorney General,DEM,Rochelle Mercedes Garza,1045
Shelby,Attorney General,REP,Ken Paxton,5769
Shelby,Attorney General,LIB,,85
Sherman,Attorney General,DEM,Rochelle Mercedes Garza,41
Sherman,Attorney General,REP,Ken Paxton,649
Sherman,Attorney General,LIB,,13
Smith,Attorney General,DEM,Rochelle Mercedes Garza,18910
Smith,Attorney General,REP,Ken Paxton,54925
Smith,Attorney General,LIB,,1751
Somervell,Attorney General,DEM,Rochelle Mercedes Garza,554
Somervell,Attorney General,REP,Ken Paxton,3336
Somervell,Attorney General,LIB,,104
Starr,Attorney General,DEM,Rochelle Mercedes Garza,4940
Starr,Attorney General,REP,Ken Paxton,3290
Starr,Attorney General,LIB,,240
Stephens,Attorney General,DEM,Rochelle Mercedes Garza,236
Stephens,Attorney General,REP,Ken Paxton,2455
Stephens,Attorney General,LIB,,35
Sterling,Attorney General,DEM,Rochelle Mercedes Garza,28
Sterling,Attorney General,REP,Ken Paxton,410
Sterling,Attorney General,LIB,,5
Stonewall,Attorney General,DEM,Rochelle Mercedes Garza,86
Stonewall,Attorney General,REP,Ken Paxton,473
Stonewall,Attorney General,LIB,,2
Sutton,Attorney General,DEM,Rochelle Mercedes Garza,188
Sutton,Attorney General,REP,Ken Paxton,922
Sutton,Attorney General,LIB,,22
Swisher,Attorney General,DEM,Rochelle Mercedes Garza,260
Swisher,Attorney General,REP,Ken Paxton,1342
Swisher,Attorney General,LIB,,50
Tarrant,Attorney General,DEM,Rochelle Mercedes Garza,274796
Tarrant,Attorney General,REP,Ken Paxton,291367
Tarrant,Attorney General,LIB,,20837
Taylor,Attorney General,DEM,Rochelle Mercedes Garza,8987
Taylor,Attorney General,REP,Ken Paxton,28991
Taylor,Attorney General,LIB,,1102
Terrell,Attorney General,DEM,Rochelle Mercedes Garza,100
Terrell,Attorney General,REP,Ken Paxton,293
Terrell,Attorney General,LIB,,8
Terry,Attorney General,DEM,Rochelle Mercedes Garza,423
Terry,Attorney General,REP,Ken Paxton,2014
Terry,Attorney General,LIB,,53
Throckmorton,Attorney General,DEM,Rochelle Mercedes Garza,56
Throckmorton,Attorney General,REP,Ken Paxton,599
Throckmorton,Attorney General,LIB,,5
Titus,Attorney General,DEM,Rochelle Mercedes Garza,1564
Titus,Attorney General,REP,Ken Paxton,5596
Titus,Attorney General,LIB,,112
Tom Green,Attorney General,DEM,Rochelle Mercedes Garza,7720
Tom Green,Attorney General,REP,Ken Paxton,23066
Tom Green,Attorney General,LIB,,792
Travis,Attorney General,DEM,Rochelle Mercedes Garza,330894
Travis,Attorney General,REP,Ken Paxton,110328
Travis,Attorney General,LIB,,14278
Trinity,Attorney General,DEM,Rochelle Mercedes Garza,828
Trinity,Attorney General,REP,Ken Paxton,4385
Trinity,Attorney General,LIB,,104
Tyler,Attorney General,DEM,Rochelle Mercedes Garza,844
Tyler,Attorney General,REP,Ken Paxton,6180
Tyler,Attorney General,LIB,,146
Upshur,Attorney General,DEM,Rochelle Mercedes Garza,1903
Upshur,Attorney General,REP,Ken Paxton,12001
Upshur,Attorney General,LIB,,294
Upton,Attorney General,DEM,Rochelle Mercedes Garza,135
Upton,Attorney General,REP,Ken Paxton,855
Upton,Attorney General,LIB,,27
Uvalde,Attorney General,DEM,Rochelle Mercedes Garza,2996
Uvalde,Attorney General,REP,Ken Paxton,4634
Uvalde,Attorney General,LIB,,201
Val Verde,Attorney General,DEM,Rochelle Mercedes Garza,3822
Val Verde,Attorney General,REP,Ken Paxton,5206
Val Verde,Attorney General,LIB,,228
Van Zandt,Attorney General,DEM,Rochelle Mercedes Garza,2420
Van Zandt,Attorney General,REP,Ken Paxton,17291
Van Zandt,Attorney General,LIB,,501
Victoria,Attorney General,DEM,Rochelle Mercedes Garza,6711
Victoria,Attorney General,REP,Ken Paxton,17812
Victoria,Attorney General,LIB,,494
Walker,Attorney General,DEM,Rochelle Mercedes Garza,4782
Walker,Attorney General,REP,Ken Paxton,11964
Walker,Attorney General,LIB,,471
Waller,Attorney General,DEM,Rochelle Mercedes Garza,5033
Waller,Attorney General,REP,Ken Paxton,11175
Waller,Attorney General,LIB,,400
Ward,Attorney General,DEM,Rochelle Mercedes Garza,431
Ward,Attorney General,REP,Ken Paxton,2016
Ward,Attorney General,LIB,,52
Washington,Attorney General,DEM,Rochelle Mercedes Garza,2837
Washington,Attorney General,REP,Ken Paxton,10603
Washington,Attorney General,LIB,,408
Webb,Attorney General,DEM,Rochelle Mercedes Garza,27252
Webb,Attorney General,REP,Ken Paxton,13895
Webb,Attorney General,LIB,,1079
Wharton,Attorney General,DEM,Rochelle Mercedes Garza,2682
Wharton,Attorney General,REP,Ken Paxton,9191
Wharton,Attorney General,LIB,,189
Wheeler,Attorney General,DEM,Rochelle Mercedes Garza,107
Wheeler,Attorney General,REP,Ken Paxton,1542
Wheeler,Attorney General,LIB,,21
Wichita,Attorney General,DEM,Rochelle Mercedes Garza,7986
Wichita,Attorney General,REP,Ken Paxton,22567
Wichita,Attorney General,LIB,,786
Wilbarger,Attorney General,DEM,Rochelle Mercedes Garza,546
Wilbarger,Attorney General,REP,Ken Paxton,2550
Wilbarger,Attorney General,LIB,,46
Willacy,Attorney General,DEM,Rochelle Mercedes Garza,2082
Willacy,Attorney General,REP,Ken Paxton,1510
Willacy,Attorney General,LIB,,105
Williamson,Attorney General,DEM,Rochelle Mercedes Garza,107034
Williamson,Attorney General,REP,Ken Paxton,104253
Williamson,Attorney General,LIB,,8244
Wilson,Attorney General,DEM,Rochelle Mercedes Garza,4334
Wilson,Attorney General,REP,Ken Paxton,14632
Wilson,Attorney General,LIB,,409
Winkler,Attorney General,DEM,Rochelle Mercedes Garza,181
Winkler,Attorney General,REP,Ken Paxton,1097
Winkler,Attorney General,LIB,,25
Wise,Attorney General,DEM,Rochelle Mercedes Garza,3476
Wise,Attorney General,REP,Ken Paxton,21401
Wise,Attorney General,LIB,,802
Wood,Attorney General,DEM,Rochelle Mercedes Garza,2446
Wood,Attorney General,REP,Ken Paxton,15330
Wood,Attorney General,LIB,,325
Yoakum,Attorney General,DEM,Rochelle Mercedes Garza,190
Yoakum,Attorney General,REP,Ken Paxton,1394
Yoakum,Attorney General,LIB,,30
Young,Attorney General,DEM,Rochelle Mercedes Garza,637
Young,Attorney General,REP,Ken Paxton,5364
Young,Attorney General,LIB,,129
Zapata,Attorney General,DEM,Rochelle Mercedes Garza,1552
Zapata,Attorney General,REP,Ken Paxton,1197
Zapata,Attorney General,LIB,,52
Zavala,Attorney General,DEM,Rochelle Mercedes Garza,1469
Zavala,Attorney General,REP,Ken Paxton,697
Zavala,Attorney General,LIB,,34
Anderson,Lieutenant Governor,DEM,Mike Collier,2605
Anderson,Lieutenant Governor,REP,Dan Patrick,11501
Anderson,Lieutenant Governor,LIB,,242
Andrews,Lieutenant Governor,DEM,Mike Collier,482
Andrews,Lieutenant Governor,REP,Dan Patrick,3198
Andrews,Lieutenant Governor,LIB,,97
Angelina,Lieutenant Governor,DEM,Mike Collier,5218
Angelina,Lieutenant Governor,REP,Dan Patrick,18770
Angelina,Lieutenant Governor,LIB,,474
Aransas,Lieutenant Governor,DEM,Mike Collier,1964
Aransas,Lieutenant Governor,REP,Dan Patrick,7438
Aransas,Lieutenant Governor,LIB,,209
Archer,Lieutenant Governor,DEM,Mike Collier,341
Archer,Lieutenant Governor,REP,Dan Patrick,3423
Archer,Lieutenant Governor,LIB,,68
Armstrong,Lieutenant Governor,DEM,Mike Collier,62
Armstrong,Lieutenant Governor,REP,Dan Patrick,812
Armstrong,Lieutenant Governor,LIB,,19
Atascosa,Lieutenant Governor,DEM,Mike Collier,3592
Atascosa,Lieutenant Governor,REP,Dan Patrick,8619
Atascosa,Lieutenant Governor,LIB,,342
Austin,Lieutenant Governor,DEM,Mike Collier,1953
Austin,Lieutenant Governor,REP,Dan Patrick,8992
Austin,Lieutenant Governor,LIB,,211
Bailey,Lieutenant Governor,DEM,Mike Collier,214
Bailey,Lieutenant Governor,REP,Dan Patrick,1064
Bailey,Lieutenant Governor,LIB,,35
Bandera,Lieutenant Governor,DEM,Mike Collier,1829
Bandera,Lieutenant Governor,REP,Dan Patrick,8397
Bandera,Lieutenant Governor,LIB,,228
Bastrop,Lieutenant Governor,DEM,Mike Collier,11895
Bastrop,Lieutenant Governor,REP,Dan Patrick,16124
Bastrop,Lieutenant Governor,LIB,,979
Baylor,Lieutenant Governor,DEM,Mike Collier,119
Baylor,Lieutenant Governor,REP,Dan Patrick,1154
Baylor,Lieutenant Governor,LIB,,24
Bee,Lieutenant Governor,DEM,Mike Collier,1991
Bee,Lieutenant Governor,REP,Dan Patrick,4182
Bee,Lieutenant Governor,LIB,,150
Bell,Lieutenant Governor,DEM,Mike Collier,33734
Bell,Lieutenant Governor,REP,Dan Patrick,50583
Bell,Lieutenant Governor,LIB,,2787
Bexar,Lieutenant Governor,DEM,Mike Collier,296295
Bexar,Lieutenant Governor,REP,Dan Patrick,217614
Bexar,Lieutenant Governor,LIB,,18500
Blanco,Lieutenant Governor,DEM,Mike Collier,1578
Blanco,Lieutenant Governor,REP,Dan Patrick,4983
Blanco,Lieutenant Governor,LIB,,189
Borden,Lieutenant Governor,DEM,Mike Collier,19
Borden,Lieutenant Governor,REP,Dan Patrick,289
Borden,Lieutenant Governor,LIB,,3
Bosque,Lieutenant Governor,DEM,Mike Collier,1172
Bosque,Lieutenant Governor,REP,Dan Patrick,6088
Bosque,Lieutenant Governor,LIB,,155
Bowie,Lieutenant Governor,DEM,Mike Collier,6180
Bowie,Lieutenant Governor,REP,Dan Patrick,19783
Bowie,Lieutenant Governor,LIB,,469
Brazoria,Lieutenant Governor,DEM,Mike Collier,42925
Brazoria,Lieutenant Governor,REP,Dan Patrick,63636
Brazoria,Lieutenant Governor,LIB,,3056
Brazos,Lieutenant Governor,DEM,Mike Collier,22701
Brazos,Lieutenant Governor,REP,Dan Patrick,34893
Brazos,Lieutenant Governor,LIB,,1903
Brewster,Lieutenant Governor,DEM,Mike Collier,1666
Brewster,Lieutenant Governor,REP,Dan Patrick,1913
Brewster,Lieutenant Governor,LIB,,132
Briscoe,Lieutenant Governor,DEM,Mike Collier,61
Briscoe,Lieutenant Governor,REP,Dan Patrick,521
Briscoe,Lieutenant Governor,LIB,,11
Brooks,Lieutenant Governor,DEM,Mike Collier,1150
Brooks,Lieutenant Governor,REP,Dan Patrick,656
Brooks,Lieutenant Governor,LIB,,54
Brown,Lieutenant Governor,DEM,Mike Collier,1357
Brown,Lieutenant Governor,REP,Dan Patrick,10628
Brown,Lieutenant Governor,LIB,,236
Burleson,Lieutenant Governor,DEM,Mike Collier,1147
Burleson,Lieutenant Governor,REP,Dan Patrick,5414
Burleson,Lieutenant Governor,LIB,,125
Burnet,Lieutenant Governor,DEM,Mike Collier,4504
Burnet,Lieutenant Governor,REP,Dan Patrick,15948
Burnet,Lieutenant Governor,LIB,,613
Caldwell,Lieutenant Governor,DEM,Mike Collier,4715
Caldwell,Lieutenant Governor,REP,Dan Patrick,6145
Caldwell,Lieutenant Governor,LIB,,407
Calhoun,Lieutenant Governor,DEM,Mike Collier,1341
Calhoun,Lieutenant Governor,REP,Dan Patrick,4121
Calhoun,Lieutenant Governor,LIB,,103
Callahan,Lieutenant Governor,DEM,Mike Collier,496
Callahan,Lieutenant Governor,REP,Dan Patrick,4662
Callahan,Lieutenant Governor,LIB,,101
Cameron,Lieutenant Governor,DEM,Mike Collier,39333
Cameron,Lieutenant Governor,REP,Dan Patrick,34360
Cameron,Lieutenant Governor,LIB,,2197
Camp,Lieutenant Governor,DEM,Mike Collier,873
Camp,Lieutenant Governor,REP,Dan Patrick,3044
Camp,Lieutenant Governor,LIB,,53
Carson,Lieutenant Governor,DEM,Mike Collier,227
Carson,Lieutenant Governor,REP,Dan Patrick,2082
Carson,Lieutenant Governor,LIB,,71
Cass,Lieutenant Governor,DEM,Mike Collier,1538
Cass,Lieutenant Governor,REP,Dan Patrick,8294
Cass,Lieutenant Governor,LIB,,128
Castro,Lieutenant Governor,DEM,Mike Collier,272
Castro,Lieutenant Governor,REP,Dan Patrick,1174
Castro,Lieutenant Governor,LIB,,22
Chambers,Lieutenant Governor,DEM,Mike Collier,2551
Chambers,Lieutenant Governor,REP,Dan Patrick,12750
Chambers,Lieutenant Governor,LIB,,374
Cherokee,Lieutenant Governor,DEM,Mike Collier,2421
Cherokee,Lieutenant Governor,REP,Dan Patrick,11766
Cherokee,Lieutenant Governor,LIB,,220
Childress,Lieutenant Governor,DEM,Mike Collier,166
Childress,Lieutenant Governor,REP,Dan Patrick,1524
Childress,Lieutenant Governor,LIB,,39
Clay,Lieutenant Governor,DEM,Mike Collier,435
Clay,Lieutenant Governor,REP,Dan Patrick,3967
Clay,Lieutenant Governor,LIB,,67
Cochran,Lieutenant Governor,DEM,Mike Collier,91
Cochran,Lieutenant Governor,REP,Dan Patrick,496
Cochran,Lieutenant Governor,LIB,,19
Coke,Lieutenant Governor,DEM,Mike Collier,147
Coke,Lieutenant Governor,REP,Dan Patrick,1205
Coke,Lieutenant Governor,LIB,,26
Coleman,Lieutenant Governor,DEM,Mike Collier,281
Coleman,Lieutenant Governor,REP,Dan Patrick,2905
Coleman,Lieutenant Governor,LIB,,34
Collin,Lieutenant Governor,DEM,Mike Collier,160919
Collin,Lieutenant Governor,REP,Dan Patrick,191427
Collin,Lieutenant Governor,LIB,,9058
Collingsworth,Lieutenant Governor,DEM,Mike Collier,87
Collingsworth,Lieutenant Governor,REP,Dan Patrick,809
Collingsworth,Lieutenant Governor,LIB,,18
Colorado,Lieutenant Governor,DEM,Mike Collier,1441
Colorado,Lieutenant Governor,REP,Dan Patrick,5956
Colorado,Lieutenant Governor,LIB,,130
Comal,Lieutenant Governor,DEM,Mike Collier,18982
Comal,Lieutenant Governor,REP,Dan Patrick,53492
Comal,Lieutenant Governor,LIB,,2110
Comanche,Lieutenant Governor,DEM,Mike Collier,639
Comanche,Lieutenant Governor,REP,Dan Patrick,4088
Comanche,Lieutenant Governor,LIB,,94
Concho,Lieutenant Governor,DEM,Mike Collier,125
Concho,Lieutenant Governor,REP,Dan Patrick,787
Concho,Lieutenant Governor,LIB,,19
Cooke,Lieutenant Governor,DEM,Mike Collier,2442
Cooke,Lieutenant Governor,REP,Dan Patrick,12458
Cooke,Lieutenant Governor,LIB,,329
Coryell,Lieutenant Governor,DEM,Mike Collier,4370
Coryell,Lieutenant Governor,REP,Dan Patrick,11404
Coryell,Lieutenant Governor,LIB,,491
Cottle,Lieutenant Governor,DEM,Mike Collier,59
Cottle,Lieutenant Governor,REP,Dan Patrick,440
Cottle,Lieutenant Governor,LIB,,10
Crane,Lieutenant Governor,DEM,Mike Collier,143
Crane,Lieutenant Governor,REP,Dan Patrick,928
Crane,Lieutenant Governor,LIB,,30
Crockett,Lieutenant Governor,DEM,Mike Collier,283
Crockett,Lieutenant Governor,REP,Dan Patrick,876
Crockett,Lieutenant Governor,LIB,,42
Crosby,Lieutenant Governor,DEM,Mike Collier,279
Crosby,Lieutenant Governor,REP,Dan Patrick,954
Crosby,Lieutenant Governor,LIB,,20
Culberson,Lieutenant Governor,DEM,Mike Collier,270
Culberson,Lieutenant Governor,REP,Dan Patrick,339
Culberson,Lieutenant Governor,LIB,,36
Dallam,Lieutenant Governor,DEM,Mike Collier,93
Dallam,Lieutenant Governor,REP,Dan Patrick,925
Dallam,Lieutenant Governor,LIB,,21
Dallas,Lieutenant Governor,DEM,Mike Collier,390165
Dallas,Lieutenant Governor,REP,Dan Patrick,213888
Dallas,Lieutenant Governor,LIB,,19305
Dawson,Lieutenant Governor,DEM,Mike Collier,422
Dawson,Lieutenant Governor,REP,Dan Patrick,2016
Dawson,Lieutenant Governor,LIB,,57
DeWitt,Lieutenant Governor,DEM,Mike Collier,882
DeWitt,Lieutenant Governor,REP,Dan Patrick,5066
DeWitt,Lieutenant Governor,LIB,,83
Deaf Smith,Lieutenant Governor,DEM,Mike Collier,652
Deaf Smith,Lieutenant Governor,REP,Dan Patrick,2225
Deaf Smith,Lieutenant Governor,LIB,,59
Delta,Lieutenant Governor,DEM,Mike Collier,333
Delta,Lieutenant Governor,REP,Dan Patrick,1655
Delta,Lieutenant Governor,LIB,,27
Denton,Lieutenant Governor,DEM,Mike Collier,135642
Denton,Lieutenant Governor,REP,Dan Patrick,171168
Denton,Lieutenant Governor,LIB,,9555
Dickens,Lieutenant Governor,DEM,Mike Collier,95
Dickens,Lieutenant Governor,REP,Dan Patrick,675
Dickens,Lieutenant Governor,LIB,,13
Dimmit,Lieutenant Governor,DEM,Mike Collier,1599
Dimmit,Lieutenant Governor,REP,Dan Patrick,919
Dimmit,Lieutenant Governor,LIB,,73
Donley,Lieutenant Governor,DEM,Mike Collier,114
Donley,Lieutenant Governor,REP,Dan Patrick,1051
Donley,Lieutenant Governor,LIB,,17
Duval,Lieutenant Governor,DEM,Mike Collier,1854
Duval,Lieutenant Governor,REP,Dan Patrick,1253
Duval,Lieutenant Governor,LIB,,114
Eastland,Lieutenant Governor,DEM,Mike Collier,677
Eastland,Lieutenant Governor,REP,Dan Patrick,5368
Eastland,Lieutenant Governor,LIB,,83
Ector,Lieutenant Governor,DEM,Mike Collier,5843
Ector,Lieutenant Governor,REP,Dan Patrick,18742
Ector,Lieutenant Governor,LIB,,619
Edwards,Lieutenant Governor,DEM,Mike Collier,96
Edwards,Lieutenant Governor,REP,Dan Patrick,693
Edwards,Lieutenant Governor,LIB,,11
El Paso,Lieutenant Governor,DEM,Mike Collier,98128
El Paso,Lieutenant Governor,REP,Dan Patrick,57249
El Paso,Lieutenant Governor,LIB,,6381
Ellis,Lieutenant Governor,DEM,Mike Collier,21236
Ellis,Lieutenant Governor,REP,Dan Patrick,43941
Ellis,Lieutenant Governor,LIB,,1875
Erath,Lieutenant Governor,DEM,Mike Collier,2107
Erath,Lieutenant Governor,REP,Dan Patrick,10637
Erath,Lieutenant Governor,LIB,,323
Falls,Lieutenant Governor,DEM,Mike Collier,1172
Falls,Lieutenant Governor,REP,Dan Patrick,3435
Falls,Lieutenant Governor,LIB,,87
Fannin,Lieutenant Governor,DEM,Mike Collier,1937
Fannin,Lieutenant Governor,REP,Dan Patrick,9412
Fannin,Lieutenant Governor,LIB,,219
Fayette,Lieutenant Governor,DEM,Mike Collier,1802
Fayette,Lieutenant Governor,REP,Dan Patrick,8442
Fayette,Lieutenant Governor,LIB,,199
Fisher,Lieutenant Governor,DEM,Mike Collier,230
Fisher,Lieutenant Governor,REP,Dan Patrick,1131
Fisher,Lieutenant Governor,LIB,,24
Floyd,Lieutenant Governor,DEM,Mike Collier,221
Floyd,Lieutenant Governor,REP,Dan Patrick,1214
Floyd,Lieutenant Governor,LIB,,24
Foard,Lieutenant Governor,DEM,Mike Collier,81
Foard,Lieutenant Governor,REP,Dan Patrick,411
Foard,Lieutenant Governor,LIB,,9
Fort Bend,Lieutenant Governor,DEM,Mike Collier,126506
Fort Bend,Lieutenant Governor,REP,Dan Patrick,115041
Fort Bend,Lieutenant Governor,LIB,,6156
Franklin,Lieutenant Governor,DEM,Mike Collier,554
Franklin,Lieutenant Governor,REP,Dan Patrick,3284
Franklin,Lieutenant Governor,LIB,,57
Freestone,Lieutenant Governor,DEM,Mike Collier,1070
Freestone,Lieutenant Governor,REP,Dan Patrick,5434
Freestone,Lieutenant Governor,LIB,,117
Frio,Lieutenant Governor,DEM,Mike Collier,1559
Frio,Lieutenant Governor,REP,Dan Patrick,1733
Frio,Lieutenant Governor,LIB,,119
Gaines,Lieutenant Governor,DEM,Mike Collier,352
Gaines,Lieutenant Governor,REP,Dan Patrick,3669
Gaines,Lieutenant Governor,LIB,,69
Galveston,Lieutenant Governor,DEM,Mike Collier,40010
Galveston,Lieutenant Governor,REP,Dan Patrick,67309
Galveston,Lieutenant Governor,LIB,,3051
Garza,Lieutenant Governor,DEM,Mike Collier,144
