county,office,district,candidate,incumbent,party,votes,pct
ARCHER,GOVERNOR,,MARK V GOLOBY,FALSE,WI,0,0.0
ARCHER,GOVERNOR,,GREG ABBOTT,TRUE,REP,3498,90.9
ARCHER,GOVERNOR,,JACQUELINE ABERNATHY,FALSE,WI,0,0.0
ARCHER,GOVERNOR,,DELILAH BARRIOS,FALSE,GRE,3,0.08
ARCHER,GOVERNOR,,MARK TIPPETTS,FALSE,LIB,32,0.83
ARCHER,GOVERNOR,,BETO O'ROURKE,FALSE,DEM,315,8.19
ARCHER,GOVERNOR,,Total,,,3848,
ARCHER,LIEUTENANT GOVERNOR,,SHANNA STEELE,FALSE,LIB,68,1.77
ARCHER,LIEUTENANT GOVERNOR,,DAN PATRICK,TRUE,REP,3423,89.33
ARCHER,LIEUTENANT GOVERNOR,,MIKE COLLIER,FALSE,DEM,341,8.9
ARCHER,LIEUTENANT GOVERNOR,,Total,,,3832,
ARCHER,ATTORNEY GENERAL,,MARK ASH,FALSE,LIB,78,2.04
ARCHER,ATTORNEY GENERAL,,ROCHELLE MERCEDES GARZA,FALSE,DEM,338,8.85
ARCHER,ATTORNEY GENERAL,,KEN PAXTON,TRUE,REP,3402,89.1
ARCHER,ATTORNEY GENERAL,,Total,,,3818,
ARCHER,COMPTROLLER OF PUBLIC ACCOUNTS,,GLENN HEGAR,TRUE,REP,3468,91.36
ARCHER,COMPTROLLER OF PUBLIC ACCOUNTS,,V. ALONZO ECHEVARRIA-GARZA,FALSE,LIB,35,0.92
ARCHER,COMPTROLLER OF PUBLIC ACCOUNTS,,JANET T. DUDDING,FALSE,DEM,293,7.72
ARCHER,COMPTROLLER OF PUBLIC ACCOUNTS,,Total,,,3796,
ARCHER,COMMISSIONER OF THE GENERAL LAND OFFICE,,CARRIE EVELYN MENGER,FALSE,WI,0,0.0
ARCHER,COMMISSIONER OF THE GENERAL LAND OFFICE,,DAWN BUCKINGHAM,FALSE,REP,3475,91.66
ARCHER,COMMISSIONER OF THE GENERAL LAND OFFICE,,"ALFRED MOLISON, JR",FALSE,GRE,24,0.63
ARCHER,COMMISSIONER OF THE GENERAL LAND OFFICE,,JAY KLEBERG,FALSE,DEM,292,7.7
ARCHER,COMMISSIONER OF THE GENERAL LAND OFFICE,,Total,,,3791,
ARCHER,COMMISSIONER OF AGRICULTURE,,SUSAN HAYS,FALSE,DEM,302,7.95
ARCHER,COMMISSIONER OF AGRICULTURE,,SID MILLER,TRUE,REP,3496,92.05
ARCHER,COMMISSIONER OF AGRICULTURE,,Total,,,3798,
ARCHER,RAILROAD COMMISSIONER,,LUKE WARFORD,FALSE,DEM,268,7.11
ARCHER,RAILROAD COMMISSIONER,,WAYNE CHRISTIAN,TRUE,REP,3426,90.85
ARCHER,RAILROAD COMMISSIONER,,JAIME ANDRES DIEZ,FALSE,LIB,53,1.41
ARCHER,RAILROAD COMMISSIONER,,HUNTER WAYNE CROW,FALSE,GRE,24,0.64
ARCHER,RAILROAD COMMISSIONER,,Total,,,3771,
ARCHER,"JUSTICE, SUPREME COURT, PLACE 3",,THOMAS EDWARD OXFORD,FALSE,LIB,46,1.22
ARCHER,"JUSTICE, SUPREME COURT, PLACE 3",,DEBRA LEHRMANN,TRUE,REP,3430,90.81
ARCHER,"JUSTICE, SUPREME COURT, PLACE 3",,ERIN A. NOWELL,FALSE,DEM,301,7.97
ARCHER,"JUSTICE, SUPREME COURT, PLACE 3",,Total,,,3777,
ARCHER,"JUSTICE, SUPREME COURT, PLACE 5",,AMANDA REICHEK,FALSE,DEM,303,8.06
ARCHER,"JUSTICE, SUPREME COURT, PLACE 5",,REBECA HUDDLE,TRUE,REP,3458,91.94
ARCHER,"JUSTICE, SUPREME COURT, PLACE 5",,Total,,,3761,
ARCHER,"JUSTICE, SUPREME COURT, PLACE 9",,JULIA MALDONADO,FALSE,DEM,317,8.42
ARCHER,"JUSTICE, SUPREME COURT, PLACE 9",,EVAN YOUNG,TRUE,REP,3448,91.58
ARCHER,"JUSTICE, SUPREME COURT, PLACE 9",,Total,,,3765,
ARCHER,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,DANA HUFFMAN,FALSE,DEM,315,8.36
ARCHER,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,SCOTT WALKER,TRUE,REP,3453,91.64
ARCHER,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,Total,,,3768,
ARCHER,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,"JESSE F. MCCLURE, III",TRUE,REP,3455,92.01
ARCHER,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,ROBERT JOHNSON,FALSE,DEM,300,7.99
