county,office,district,candidate,party,votes
HUNT,Attorney General,,Sam Houston,DEM,3412
HUNT,Attorney General,,Ken Paxton,REP,12320
HUNT,Attorney General,,OTHER,OTH,423
HUTCHINSON,Attorney General,,Sam Houston,DEM,492
HUTCHINSON,Attorney General,,Ken Paxton,REP,3892
HUTCHINSON,Attorney General,,OTHER,OTH,88
IRION,Attorney General,,Sam Houston,DEM,59
IRION,Attorney General,,Ken Paxton,REP,361
IRION,Attorney General,,OTHER,OTH,11
JACK,Attorney General,,Sam Houston,DEM,224
JACK,Attorney General,,Ken Paxton,REP,1460
JACK,Attorney General,,OTHER,OTH,35
JACKSON,Attorney General,,Sam Houston,DEM,539
JACKSON,Attorney General,,Ken Paxton,REP,2303
JACKSON,Attorney General,,OTHER,OTH,45
JASPER,Attorney General,,Sam Houston,DEM,1593
JASPER,Attorney General,,Ken Paxton,REP,5342
JASPER,Attorney General,,OTHER,OTH,104
JEFF DAVIS,Attorney General,,Sam Houston,DEM,387
JEFF DAVIS,Attorney General,,Ken Paxton,REP,536
JEFF DAVIS,Attorney General,,OTHER,OTH,60
JEFFERSON,Attorney General,,Sam Houston,DEM,26044
JEFFERSON,Attorney General,,Ken Paxton,REP,25682
JEFFERSON,Attorney General,,OTHER,OTH,745
JIM HOGG,Attorney General,,Sam Houston,DEM,540
JIM HOGG,Attorney General,,Ken Paxton,REP,143
JIM HOGG,Attorney General,,OTHER,OTH,27
JIM WELLS,Attorney General,,Sam Houston,DEM,3029
JIM WELLS,Attorney General,,Ken Paxton,REP,2345
JIM WELLS,Attorney General,,OTHER,OTH,193
JOHNSON,Attorney General,,Sam Houston,DEM,5594
JOHNSON,Attorney General,,Ken Paxton,REP,22666
JOHNSON,Attorney General,,OTHER,OTH,769
JONES,Attorney General,,Sam Houston,DEM,643
JONES,Attorney General,,Ken Paxton,REP,2550
JONES,Attorney General,,OTHER,OTH,83
KARNES,Attorney General,,Sam Houston,DEM,683
KARNES,Attorney General,,Ken Paxton,REP,1717
KARNES,Attorney General,,OTHER,OTH,44
KAUFMAN,Attorney General,,Sam Houston,DEM,5117
