county,office,district,candidate,party,votes
HARTLEY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,978
HARTLEY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,62
HASKELL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,773
HASKELL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,100
HAYS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,22048
HAYS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,10632
HEMPHILL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,680
HEMPHILL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,61
HENDERSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,13448
HENDERSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1457
HIDALGO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,32272
HIDALGO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,16622
HILL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7038
HILL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,868
HOCKLEY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3163
HOCKLEY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,268
HOOD,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,10969
HOOD,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1438
HOPKINS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5712
HOPKINS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,656
HOUSTON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3591
HOUSTON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,356
HOWARD,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3416
HOWARD,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,443
HUDSPETH,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,240
HUDSPETH,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,84
HUNT,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,12487
HUNT,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1568
HUTCHINSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3946
HUTCHINSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,290
IRION,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,375
IRION,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,29
JACK,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1474
JACK,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,106
JACKSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2378
JACKSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,205
JASPER,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5529
JASPER,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,599
JEFF DAVIS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,583
JEFF DAVIS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,248
JEFFERSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,27552
JEFFERSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,6085
JIM HOGG,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,216
JIM HOGG,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,137
JIM WELLS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2869
JIM WELLS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,967
JOHNSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,23124
JOHNSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,3136
JONES,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2636
JONES,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,355
KARNES,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1798
KARNES,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,242
